record_id,raw_source,raw_title,normalized_title,publication_date,source_publication,byline_or_credit,person_name_variant,muck_rack_url,original_url,url_status,evidence_status,duplicate_group_id,duplicate_status,confidence,notes
MR001,Muck Rack,Brandmannen Sami: ”Att vi kunde rädda något och glädja barnen känns jättebra”,Brandmannen Sami: ”Att vi kunde rädda något och glädja barnen känns jättebra”,2021-10-09,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/o3YH9e/brandmannen-sami-att-vi-kunde-radda-nagot-och-gladja-barnen-kanns-jattebra,https://www.svt.se/nyheter/lokalt/jonkoping/brandmannen-sami-att-vi-kunde-radda-nagot-och-gladja-barnen-kanns-jattebra,original_url_found,verified_original,DG011,unique,high,Muck Rack raw date: 5 years ago. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata.
MR002,Muck Rack,Efter branden - här får barnen sina räddade minnesgåvor,Efter branden – här får barnen sina räddade minnesgåvor,2021-10-09,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/o3Y64e/efter-branden-har-far-barnen-sina-raddade-minnesgavor,https://www.svt.se/nyheter/lokalt/jonkoping/efter-branden-har-far-barnen-sin-minnesgava-av-brandmannen,original_url_found,verified_original,DG012,unique,high,Muck Rack raw date: 5 years ago. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata.
MR003,Muck Rack,Döms för djurplågeri av lamm - får villkorlig dom och böter,Döms för djurplågeri av lamm – får villkorlig dom och böter,2021-09-24,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/oZUVrW/doms-for-djurplageri-av-lamm-far-villkorlig-dom-och-boter,https://www.svt.se/nyheter/lokalt/jonkoping/doms-for-djurplageri-av-lamm-far-villkorlig-dom-och-boter,original_url_found,verified_original,DG013,unique,high,Muck Rack raw date: 5 years ago. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata.
MR004,Muck Rack,EM i inomhusrodd hålls i Jönköping,EM i inomhusrodd hålls i Jönköping,2021-09-06,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/ofgCOs/em-i-inomhusrodd-halls-i-jonkoping,https://www.svt.se/nyheter/lokalt/jonkoping/em-i-inomhusrodd-halls-i-jonkoping,original_url_found,verified_original,DG014,unique,high,Muck Rack raw date: 5 years ago. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata.
MR005,Muck Rack,Cornelia Antonijev vidare till riksfinal av P4 Nästa,Cornelia Antonijev vidare till riksfinal av P4 Nästa,2021-08-16,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/o4BSPw/cornelia-antonijev-vidare-till-riksfinal-av-p4-nasta,https://www.svt.se/nyheter/lokalt/jonkoping/cornelia-antonijev-vidare-till-riksfinal-av-p4-nasta,original_url_found,verified_original,DG015,unique,high,Muck Rack raw date: 5 years ago. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata.
MR006,Muck Rack,Åklagaren yrkar på livstidsfängelse efter skjutningen i Värnamo,Åklagaren yrkar på livstidsfängelse efter skjutningen i Värnamo,2021-08-16,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/o4BSPL/aklagaren-yrkar-pa-livstidsfangelse-efter-skjutningen-i-varnamo,https://www.svt.se/nyheter/lokalt/jonkoping/aklagaren-yrkar-pa-livstidsfangelse-efter-skjutningen-i-varnamo,original_url_found,verified_original,DG016,unique,high,Muck Rack raw date: 5 years ago. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata.
MR007,Muck Rack,Trots corona - positiva skolresultat i Jönköpings kommun,Trots corona – positiva skolresultat i Jönköpings kommun,2021-06-27,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/ohowNH/trots-corona-positiva-skolresultat-i-jonkopings-kommun,https://www.svt.se/nyheter/lokalt/jonkoping/trots-corona-positiva-skolresultat-i-jonkopings-kommun,original_url_found,verified_original,DG017,unique,high,Muck Rack raw date: 5 years ago. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata.
MR008,Muck Rack,Kvinna på löptur utsatt för våldtäktsförsök,Kvinna på löptur utsatt för våldtäktsförsök,2021-06-27,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/oho1qN/kvinna-pa-loptur-utsatt-for-valdtaktsforsok,https://www.svt.se/nyheter/lokalt/jonkoping/kvinnna-var-ute-och-sprang-utsattes-for-valdtaktsforsok,original_url_found,verified_original,DG018,unique,high,Muck Rack raw date: 5 years ago. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata.
MR009,Muck Rack,Nu är Sommarkraft igång igen - se mötesplatsen på Österängen,Se mötesplatsen på Österängen – nu är Sommarkraft igång igen,2021-06-27,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/ohopFU/nu-ar-sommarkraft-igang-igen-se-motesplatsen-pa-osterangen,https://www.svt.se/nyheter/lokalt/jonkoping/nu-ar-sommarkraft-igang-igen-se-motesplatsen-pa-osterangen,original_url_found,verified_original,DG019,unique,high,Muck Rack raw date: 5 years ago. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata.
MR010,Muck Rack,Så var midsommarnatten i länet,Så var midsommarnatten i länet,2021-06-26,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/ohpsFN/sa-var-midsommarnatten-i-lanet,https://www.svt.se/nyheter/lokalt/jonkoping/sa-var-midsommarnatten-for-polisen,original_url_found,verified_original,DG020,unique,high,Muck Rack raw date: 5 years ago. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata.
MR011,Muck Rack,Sverige säger nej till världens största e-sportsturnering - tusentals besvikna i protest,Sverige säger nej till världens största e-sportsturnering – tusentals besvikna i protest,2021-06-23,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/oktX4T/sverige-sager-nej-till-varldens-storsta-e-sportsturnering-tusentals-besvikna-i-protest,https://www.svt.se/nyheter/lokalt/jonkoping/sverige-sager-nej-till-varldens-storsta-e-sportturnering-tusentals-besvikna-i-protest,original_url_found,verified_original,DG021,unique,high,Muck Rack raw date: 5 years ago. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata.
MR012,Muck Rack,Felaktiga uppgifter florerar - Damberg (S) har inte fattat något beslut om spelturneringen,Felaktiga uppgifter florerar – Damberg (S) har inte fattat något beslut om spelturneringen,2021-06-23,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/oktXhF/felaktiga-uppgifter-florerar-damberg-s-har-inte-fattat-nagot-beslut-om-spelturneringen,https://www.svt.se/nyheter/lokalt/jonkoping/felaktiga-uppgifter-florerar-damberg-har-inte-fattat-nagot-beslut-spelturneringen,original_url_found,verified_original,DG022,unique,high,Muck Rack raw date: 5 years ago. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata.
MR013,Muck Rack,Nu lämnar omsorgspersonal 900 namnunderskrifter till Jönköpings kommun,Nu lämnar omsorgspersonal 900 namnunderskrifter till Jönköpings kommun,2021-06-23,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/okbZOH/nu-lamnar-omsorgspersonal-900-namnunderskrifter-till-jonkopings-kommun,https://www.svt.se/nyheter/lokalt/jonkoping/nu-lamnar-vardpersonal-900-namnunderskrifter-till-jonkopings-kommun,original_url_found,verified_original,DG023,unique,high,Muck Rack raw date: 5 years ago. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata.
MR014,Muck Rack,Här kan du lämna synpunkter till Jönköpings kommun,Här kan du lämna synpunkter till Jönköpings kommun,2021-06-22,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/okOhEp/har-kan-du-lamna-synpunkter-till-jonkopings-kommun,https://www.svt.se/nyheter/lokalt/jonkoping/har-placeras-kommun-brevlador,original_url_found,verified_original,DG024,unique,high,Muck Rack raw date: 5 years ago. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata.
MR015,Muck Rack,Polisen vill se ytterligare krafttag mot bedrägerier,Polisen vill se ytterligare krafttag mot bedrägerier,2021-06-18,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/okkRWK/polisen-vill-se-ytterligare-krafttag-mot-bedragerier,https://www.svt.se/nyheter/lokalt/jonkoping/polisen-uppmanar-myndigheter-att-se-over-rutiner,original_url_found,verified_original,DG025,unique,high,Muck Rack raw date: 5 years ago. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata.
MR016,Both,Så slog operation Kura till mot flera gym,Så slog operation Kura till mot flera gym,2021-06-17,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/okHYvV/sa-slog-operation-kura-till-mot-flera-gym,https://www.svt.se/nyheter/lokalt/jonkoping/sa-slog-operation-kura-till-mot-flera-gym,original_url_found,mixed,DG026,unique,high,Muck Rack raw date: 5 years ago. Original kandidat från Muck Rack-rubriklänk. Muck Rack-utdrag innehåller även kredit/omnämnande: Simon Fredling Jack. Original verifierad mot Sveriges Television: titelmatchning och metadata. Deep Research-belägg: Deep Research evidenstabell; matchar Muck Rack-post.
MR017,Muck Rack,Polisen: ”Dopning på gym är vanligare än vi trodde”,Mullvadar på gym upptäcker dopning,2021-06-17,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/okHYvT/polisen-dopning-pa-gym-ar-vanligare-an-vi-trodde,https://www.svt.se/nyheter/lokalt/jonkoping/polisen-dopning-ar-vanligare-an-vi-trodde,original_url_found,verified_original,DG027,unique,medium,"Muck Rack raw date: 5 years ago. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: URL-slug, källa, datum/byline och hämtad originaltitel matchar publiceringsposten; aktuell originaltitel är 'Mullvadar på gym upptäcker dopning'."
MR018,Both,Här slår polisen till mot man på gymmet - SVT Jönköping var med på dopningsrazzia,Här slår polisen till mot man på gymmet – SVT Jönköping var med på dopningsrazzia,2021-06-17,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/okHRu6/har-slar-polisen-till-mot-man-pa-gymmet-svt-jonkoping-var-med-pa-dopningsrazzia,https://www.svt.se/nyheter/lokalt/jonkoping/har-slar-polisen-till-mot-misstankt-man,original_url_found,mixed,DG028,unique,high,Muck Rack raw date: 5 years ago. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata. Deep Research-belägg: Deep Research evidenstabell; matchar Muck Rack-post.
MR019,Muck Rack,Man försvunnen - polisen vädjar om tips,Saknad man återfunnen välbehållen,2021-06-12,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/oko3H1/man-forsvunnen-polisen-vadjar-om-tips,https://www.svt.se/nyheter/lokalt/jonkoping/man-forsvunnen-polisen-vadjar-om-tips,original_url_found,verified_original,DG029,unique,medium,"Muck Rack raw date: 5 years ago. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: URL-slug, källa, datum/byline och hämtad originaltitel matchar publiceringsposten; aktuell originaltitel är 'Saknad man återfunnen välbehållen'."
